tweet_id,tweet_date,tweet_year,tweet_month,tweet_text,dog_name,dog_stage,dog_score,total_score,number_of_times_retweeted,number_of_times_loved,number_of_dog_images,dog_breed,confidence_of_true_recognition,tweet_expanded_urls
890240255349198849,2017-07-26 15:59:51.000000,2017,7,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,14,10,7163,31168,1,Pembroke,0.511319,https://twitter.com/dog_rates/status/890240255349198849/photo/1
884162670584377345,2017-07-09 21:29:42.000000,2017,7,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,Yogi,doggo,12,10,2897,19889,1,German_shepherd,0.707046,https://twitter.com/dog_rates/status/884162670584377345/photo/1
872967104147763200,2017-06-09 00:02:31.000000,2017,6,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,None,doggo,12,10,5311,26807,2,Labrador_retriever,0.476913,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1"
871515927908634625,2017-06-04 23:56:03.000000,2017,6,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,Napolean,doggo,12,10,3407,19872,2,komondor,0.974781,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1"
869596645499047938,2017-05-30 16:49:31.000000,2017,5,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,Scout,doggo,12,10,3110,15787,2,Chihuahua,0.955156,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1"
858843525470990336,2017-05-01 00:40:27.000000,2017,5,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,None,doggo,13,10,3526,15611,1,golden_retriever,0.57812,https://twitter.com/dog_rates/status/858843525470990336/photo/1
855851453814013952,2017-04-22 18:31:02.000000,2017,4,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,None,puppo,13,10,18159,45963,1,flat-coated_retriever,0.321676,https://twitter.com/dog_rates/status/855851453814013952/photo/1
854010172552949760,2017-04-17 16:34:26.000000,2017,4,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk",None,floofer,11,10,3246,16464,2,English_springer,0.354733,"https://twitter.com/dog_rates/status/854010172552949760/photo/1,https://twitter.com/dog_rates/status/854010172552949760/photo/1"
846514051647705089,2017-03-28 00:07:32.000000,2017,3,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,Barney,doggo,13,10,12186,46050,3,golden_retriever,0.650003,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1"
845397057150107648,2017-03-24 22:08:59.000000,2017,3,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o",Mimosa,doggo,13,10,1899,7895,2,Dandie_Dinmont,0.394404,"https://www.gofundme.com/help-save-a-pup,https://twitter.com/dog_rates/status/845397057150107648/photo/1,https://twitter.com/dog_rates/status/845397057150107648/photo/1"
836753516572119041,2017-03-01 01:42:39.000000,2017,3,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,Meera,doggo,12,10,4910,20072,1,schipperke,0.0115635,https://twitter.com/dog_rates/status/836753516572119041/photo/1
834574053763584002,2017-02-23 01:22:14.000000,2017,2,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 https://t.co/UtEVnQ1ZPg,None,doggo,13,10,2705,14288,1,golden_retriever,0.226564,https://twitter.com/dog_rates/status/834574053763584002/photo/1
832998151111966721,2017-02-18 17:00:10.000000,2017,2,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0",Rhino,doggo,13,10,2368,13908,2,boxer,0.539036,"https://twitter.com/dog_rates/status/832998151111966721/photo/1,https://twitter.com/dog_rates/status/832998151111966721/photo/1"
832032802820481025,2017-02-16 01:04:13.000000,2017,2,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M",Miguel,doggo,12,10,4967,18662,4,whippet,0.601712,"https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1"
831939777352105988,2017-02-15 18:54:34.000000,2017,2,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet https://t.co/k9bzgyVdUT,Emanuel,doggo,12,10,6565,25131,1,Pomeranian,0.153862,https://twitter.com/dog_rates/status/831939777352105988/photo/1
831322785565769729,2017-02-14 02:02:51.000000,2017,2,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK,Pete,doggo,12,10,1640,9661,1,Old_English_sheepdog,0.999715,https://twitter.com/dog_rates/status/831322785565769729/photo/1
